Key,Source,Module,Field,CN,EN,RU,ES,JP,KR,FR,DE,PT,TH,IN,VI
Item_9588_Name,d道具_Item_A.csv,Item,Name,畸体回噬,Aberrant Devour,,,,,,Abnormales Verschlingen,,,,
Item_9644_Name,d道具_Item_A.csv,Item,Name,神王的颂歌,Hymn of the Sovereign,,,,,,Hymne des Herrschers,,,,
Item_9734_Name,d道具_Item_A.csv,Item,Name,跨越疼痛,Grace Through Pain,,,,,,Gnade durch Schmerz,,,,
Item_54115_Name,d道具_Item_A.csv,Item,Name,沉入殷红,Drowning in Crimson,,,,,,Ertrinken in Blutrot,,,,
Item_54113_Name,d道具_Item_A.csv,Item,Name,坠入虚无的人偶,Manikin of Oblivion,,,,,,Puppe der Vergessenheit,,,,
Item_9630_Name,d道具_Item_A.csv,Item,Name,于暴雨之中,Amidst the Downpour,,,,,,Inmitten des Regensturms,,,,
Item_9877_Name,d道具_Item_A.csv,Item,Name,血肉狂宴,Bloody Feast,,,,,,Blutiges Festmahl,,,,
Item_9845_Name,d道具_Item_A.csv,Item,Name,迷失的道路,Path Forsaken,,,,,,Verlassener Pfad,,,,
Item_48828_Name,d道具_Item_A.csv,Item,Name,极夜与破晓,Dusk and Dawn,,,,,,Dämmerung und Morgengrauen,,,,
Item_54105_Name,d道具_Item_A.csv,Item,Name,隐世的转轮,Wheel Unseen,,,,,,Unsichtbares Rad,,,,
Item_9786_Name,d道具_Item_A.csv,Item,Name,冬夜追忆,Winter's Requiem,,,,,,Requiem des Winters,,,,
Item_61391_Name,d道具_Item_A.csv,Item,Name,纯银的初心,Heart of Silver,,,,,,Silberherz,,,,
Item_9570_Name,d道具_Item_A.csv,Item,Name,诗笺的句尾,The Last Verse,,,,,,Der letzte Vers,,,,
Item_9577_Name,d道具_Item_A.csv,Item,Name,至为珍贵的藏品,Treasured Rarity,,,,,,Kostbare Sammlung,,,,
Item_9884_Name,d道具_Item_A.csv,Item,Name,以蔷薇之名,By Rose Alone,,,,,,Im Namen der Rose,,,,
Item_9667_Name,d道具_Item_A.csv,Item,Name,吞噬摇篮曲,Lullaby Devoured,,,,,,Verschlungenes Wiegenlied,,,,
Item_10069_Name,d道具_Item_A.csv,Item,Name,神言石板,Tablet of Scriptures,,,,,,Schrifttafel,,,,
Item_9530_Name,d道具_Item_A.csv,Item,Name,引舵之帆,Sail of Providence,,,,,,Segel der Vorhersehung,,,,
Item_9947_Name,d道具_Item_A.csv,Item,Name,无法完成的演算,Incalculable Factor,,,,,,Unberechenbarer Faktor,,,,
Item_9642_Name,d道具_Item_A.csv,Item,Name,珊瑚女之死,Death of Ms. Coral,,,,,,Frau Corals Tod,,,,
Item_10101_Name,d道具_Item_A.csv,Item,Name,虔诚的伟力,Power of the Pious,,,,,,Macht der Frommen,,,,
Item_9846_Name,d道具_Item_A.csv,Item,Name,挣脱锁链之日,Chains Unbound,,,,,,Fesseln losgekettet,,,,
Item_9873_Name,d道具_Item_A.csv,Item,Name,骑士之心,A Knight's Vow,,,,,,Ein Ritterschwur,,,,
Item_10100_Name,d道具_Item_A.csv,Item,Name,好运时间,Hour of Fortune,,,,,,Stunde des Glücks,,,,
Item_9736_Name,d道具_Item_A.csv,Item,Name,快乐魔法秀,Happy Magic Show,,,,,,Fröhliche Zaubershow,,,,
Item_9704_Name,d道具_Item_A.csv,Item,Name,灵魂诞生,Birth of a Soul,,,,,,Geburt einer Seele,,,,
Item_9625_Name,d道具_Item_A.csv,Item,Name,阿库特之春,Spring in Acushnet,,,,,,Frühling in Acushnet,,,,
Item_9817_Name,d道具_Item_A.csv,Item,Name,溯洄时计,Rewinding Time,,,,,,Zeit zurückdrehen,,,,
Item_9943_Name,d道具_Item_A.csv,Item,Name,欲海浮沉,Drifting in Desire,,,,,,Im Verlangen treiben,,,,
Item_9827_Name,d道具_Item_A.csv,Item,Name,巨人之刃,Blade of the Titan,,,,,,Klinge des Riesen,,,,
Item_9849_Name,d道具_Item_A.csv,Item,Name,超越死亡,Deathless Ascent,,,,,,Unsterblicher Aufstieg,,,,
Item_9581_Name,d道具_Item_A.csv,Item,Name,隐秘的诞生,Shrouded Birth,,,,,,Verborgene Geburt,,,,
Item_9703_Name,d道具_Item_A.csv,Item,Name,陨日,Sunfall,,,,,,Sonnenfall,,,,
Item_9529_Name,d道具_Item_A.csv,Item,Name,伤痛之鳍,Fin of Sorrow,,,,,,Flosse der Trauer,,,,
Item_9689_Name,d道具_Item_A.csv,Item,Name,坚韧意志,Will Unyielding,,,,,,Unnachgiebiger Wille,,,,
Item_9516_Name,d道具_Item_A.csv,Item,Name,星天之兽,Celestial Beast,,,,,,Himmlisches Biest,,,,
Item_9589_Name,d道具_Item_A.csv,Item,Name,腐朽赠礼,Gift of Decay,,,,,,Geschenk des Verfalls,,,,
Item_9974_Name,d道具_Item_A.csv,Item,Name,无声欢宴,Silent Banquet,,,,,,Stilles Festmahl,,,,
Item_9876_Name,d道具_Item_A.csv,Item,Name,海之梦,Dream of the Sea,,,,,,Traum vom Meer,,,,
Item_10025_Name,d道具_Item_A.csv,Item,Name,苍白后裔,Pale Descendant,,,,,,Blasser Nachkomme,,,,
Item_9998_Name,d道具_Item_A.csv,Item,Name,饕餮寓言,The Glutton's Tale,,,,,,Die Geschichte des Vielfraßes,,,,
Item_9616_Name,d道具_Item_A.csv,Item,Name,核心熔解,Core Meltdown,,,,,,Kernschmelze,,,,
Item_9856_Name,d道具_Item_A.csv,Item,Name,记忆螺旋,Memory Spiral,,,,,,Erinnerungsspirale,,,,
Item_9881_Name,d道具_Item_A.csv,Item,Name,慈悲的哺育,Merciful Nurturing,,,,,,Barmherzige Pflege,,,,
Item_9623_Name,d道具_Item_A.csv,Item,Name,旋转，旋转,Fouetté,,,,,,Fouetté,,,,
Item_9789_Name,d道具_Item_A.csv,Item,Name,被缚的歌谣,Song of the Bound,,,,,,Lied der Gebundenen,,,,
Item_9677_Name,d道具_Item_A.csv,Item,Name,女王的戒律,Queen's Edict,,,,,,Edikt der Königin,,,,
Item_54114_Name,d道具_Item_A.csv,Item,Name,永恒安魂曲,Eternal Requiem,,,,,,Ewiges Requiem,,,,
Item_77882_Name,d道具_Item_A.csv,Item,Name,圣火中的指引,Flamebound Navigator,,,,,,Flammengebundener Navigator,,,,
Item_77859_Name,d道具_Item_A.csv,Item,Name,不可承受的自由,Unbearable Freedom,,,,,,Unerträgliche Freiheit,,,,
Item_95699_Name,d道具_Item_A.csv,Item,Name,安息之吻,Kiss of Repose,,,,,,Kuss der Ruhe,,,,
Item_89573_Name,d道具_Item_A.csv,Item,Name,重生于湮土,Annihilated Rebirth,,,,,,Vernichtete Wiedergeburt,,,,
Item_77888_Name,d道具_Item_A.csv,Item,Name,隐没的痛楚,Veiled Anguish,,,,,,Verschleierte Qual,,,,
Item_47520_Name,d道具_Item_A.csv,Item,Name,往昔的花与诗,Poetic Bygone Days,,,,,,Poetische vergangene Tage,,,,
Item_45297_Name,d道具_Item_A.csv,Item,Name,银鳕鱼的决心,Silver Cod's Determination,,,,,,Silberkabeljaus Entschlossenheit,,,,
Item_56635_Name,d道具_Item_A.csv,Item,Name,待到雪山消融,Til the Snow Melts,,,,,,Bis der Schnee schmilzt,,,,
Item_47521_Name,d道具_Item_A.csv,Item,Name,灼热的吻别,Kiss of Farewell,,,,,,Abschiedskuss,,,,
Item_9693_Name,d道具_Item_A.csv,Item,Name,心之壁垒,Mind Barrier,,,,,,Gedankenbarriere,,,,
Item_56639_Name,d道具_Item_A.csv,Item,Name,永不停歇的演奏,Never-Ending Performance,,,,,,Nie endende Aufführung,,,,
Item_9692_Name,d道具_Item_A.csv,Item,Name,信息就是生命,Data is Flesh,,,,,,Daten sind Leben,,,,
Item_41379_Name,d道具_Item_A.csv,Item,Name,伊萨拉乌的目光,The Gaze of Isarawu,,,,,,Isarawus Blick,,,,
Item_53767_Name,d道具_Item_A.csv,Item,Name,百万蒙宠之眼,Million Loving Gaze,,,,,,Millionen liebevolle Blicke,,,,
Item_9850_Name,d道具_Item_A.csv,Item,Name,职责所在,Duty's Gravitas,,,,,,Der Ruf der Pflicht,,,,
Item_10073_Name,d道具_Item_A.csv,Item,Name,专注精神,Elevated Focus,,,,,,Erhöhter Fokus,,,,
Item_9691_Name,d道具_Item_A.csv,Item,Name,勋爵手杖,Nobleman's Staff,,,,,,Herrschaftsstab,,,,
Item_47519_Name,d道具_Item_A.csv,Item,Name,深海的呼唤,Deep Sea's Call,,,,,,Der Ruf der Tiefsee,,,,
Item_56642_Name,d道具_Item_A.csv,Item,Name,真理之门,Gateway of Truth,,,,,,Tor der Wahrheit,,,,
Item_78878_Name,d道具_Item_A.csv,Item,Name,海上领航者,Navigator at Sea,,,,,,Seenavigator,,,,
Item_10075_Name,d道具_Item_A.csv,Item,Name,切割与伤害,Sever and Scar,,,,,,Durchtrennen und vernarben,,,,
Item_9855_Name,d道具_Item_A.csv,Item,Name,苦咒缚,Cursed Binding,,,,,,Verfluchte Bindung ,,,,
Item_9764_Name,d道具_Item_A.csv,Item,Name,伏于夜色,Cloaked in the Night,,,,,,Gekleidet in der Nacht,,,,
Item_10077_Name,d道具_Item_A.csv,Item,Name,冒险的行囊,Adventurer's Pack,,,,,,Abenteurerrucksack,,,,
Item_10078_Name,d道具_Item_A.csv,Item,Name,死亡的剖析,Analysis of Death,,,,,,Analyse des Todes,,,,
Item_10079_Name,d道具_Item_A.csv,Item,Name,致挚友,To My Dearest Friend,,,,,,"An meinen liebsten Freund
",,,,
Item_10080_Name,d道具_Item_A.csv,Item,Name,记忆症候,Memory Syndrome,,,,,,Gedächtnissyndrom,,,,
Item_9741_Name,d道具_Item_A.csv,Item,Name,临界点,Critical Point,,,,,,Kritischer Punkt,,,,
Item_9610_Name,d道具_Item_A.csv,Item,Name,聚首时刻,Moment of Reunion,,,,,,Moment der Wiedervereinigung,,,,
Item_9697_Name,d道具_Item_A.csv,Item,Name,不存在之地,The Land of Nonexistence,,,,,,Das Land der Nichtexistenz,,,,
Item_9695_Name,d道具_Item_A.csv,Item,Name,遗忘之手,Hand of Oblivion,,,,,,Hand der Vergessenheit,,,,
Item_34858_Name,d道具_Item_A.csv,Item,Name,35mm的魔法,35mm Magic,,,,,,35mm Magie,,,,
Item_56641_Name,d道具_Item_A.csv,Item,Name,冰川下的沉眠,Slumber Beneath the Glacier,,,,,,Schlaf unter dem Gletscher,,,,
Item_56640_Name,d道具_Item_A.csv,Item,Name,命运轮盘赌,Fate Roulette,,,,,,Roulette des Schicksals,,,,
Item_56637_Name,d道具_Item_A.csv,Item,Name,牧羊人的手杖,Shepherd's Staff,,,,,,Hirtenstab,,,,
Item_68689_Name,d道具_Item_A.csv,Item,Name,催眠灵摆,Hypnotic Pendulum,,,,,,Hypnotisches Pendel,,,,
Item_68683_Name,d道具_Item_A.csv,Item,Name,魔女宽檐帽,Witch's Wide-brimmed Hat,,,,,,Breitkrempiger Hexenhut,,,,
Item_95674_Name,d道具_Item_A.csv,Item,Name,珍馐,Macabre Delicacy,,,,,,Makabre Delikatessen,,,,
Item_78871_Name,d道具_Item_A.csv,Item,Name,孤羽,Lone Feather,,,,,,Einsame Feder,,,,
Item_9550_Name,d道具_Item_A.csv,Item,Name,熟成,Aged,,,,,,Reif,,,,
Item_9979_Name,d道具_Item_A.csv,Item,Name,活性,Vitality,,,,,,Vitalität,,,,
Item_9531_Name,d道具_Item_A.csv,Item,Name,吮吸,Suction,,,,,,Saugen,,,,
Item_10010_Name,d道具_Item_A.csv,Item,Name,暴食,Devour,,,,,,Verschlingen,,,,
Item_10009_Name,d道具_Item_A.csv,Item,Name,狂乱,Frenzy,,,,,,Raserei,,,,
Item_10008_Name,d道具_Item_A.csv,Item,Name,宠爱,Favor,,,,,,Gunst,,,,
Item_10007_Name,d道具_Item_A.csv,Item,Name,涌现,Emerge,,,,,,Erscheinen,,,,
Item_10006_Name,d道具_Item_A.csv,Item,Name,谵妄,Delirium,,,,,,Delirium,,,,
Item_10005_Name,d道具_Item_A.csv,Item,Name,呢喃,Whisper,,,,,,Flüstern,,,,
Item_10004_Name,d道具_Item_A.csv,Item,Name,希冀,Hope,,,,,,Hoffnung,,,,
Item_10012_Name,d道具_Item_A.csv,Item,Name,明悟,Epiphany,,,,,,Offenbarung,,,,
Item_10011_Name,d道具_Item_A.csv,Item,Name,惩戒,Punishment,,,,,,Strafe,,,,
Item_9999_Name,d道具_Item_A.csv,Item,Name,眷顾,Blessing,,,,,,Segen,,,,
Item_9997_Name,d道具_Item_A.csv,Item,Name,放逐,Exile,,,,,,Exil,,,,
Item_10019_Name,d道具_Item_A.csv,Item,Name,洞悉,Insight,,,,,,Einblick,,,,
Item_44832_Name,d道具_Item_A.csv,Item,Name,镜中人,Man in the Mirror,,,,,,Mann im Spiegel,,,,
Item_68682_Name,d道具_Item_A.csv,Item,Name,青石王座,Blue Stone Throne,,,,,,Blauer Steinthron,,,,
Item_78885_Name,d道具_Item_A.csv,Item,Name,迫近的太阳,Impending Sun,,,,,,Nahende Sonne,,,,
Item_10033_Name,d道具_Item_A.csv,Item,Name,贪婪,Greed,,,,,,Gier,,,,
Item_73582_Name,d道具_Item_A.csv,Item,Name,未送出的花,Unsent Flowers,,,,,,Unversandte Blumen,,,,