EnchantConfig_18169_Desc,awfL,f附魔_EnchantConfig_A.csv,9,EnchantConfig,Desc,,打出后获得 [Arg1] 点算力。,使用後、1点の行動力を獲得する。
EnchantConfig_18169_Name,awfM,f附魔_EnchantConfig_A.csv,9,EnchantConfig,Name,,<WhiteQuality:筹算>,<WhiteQuality:算力>
EnchantConfig_18170_Desc,awfN,f附魔_EnchantConfig_A.csv,35,EnchantConfig,Desc,,打出后获得 [Arg1] 层<RetaliateIconKeywords:反击>，对所有敌人造成 [Arg2]% <RetaliateIconKeywords:反击>的真实伤害。,使用後、[Arg1]点の<RetaliateIconKeywords:反撃>を獲得し、すべての敵に<RetaliateIconKeywords:反撃>の[Arg2]％分の固定ダメージを与える。
EnchantConfig_18170_Name,awfO,f附魔_EnchantConfig_A.csv,35,EnchantConfig,Name,,<OrangeQuality:高级尖刺>,<OrangeQuality:上位尖刺>
EnchantConfig_18171_Desc,awfP,f附魔_EnchantConfig_A.csv,33,EnchantConfig,Desc,,打出后额外生效 [Arg1] 次，获得 [Arg2] 点黑印，<DepleteIconKeywords:消耗>、<GuyouKeywords:固有>。,使用後、カードの効果が[Arg1]回発動し、[Arg2]黒章を獲得する。<DepleteIconKeywords:除外>、<GuyouKeywords:固有>。
EnchantConfig_18171_Name,awfQ,f附魔_EnchantConfig_A.csv,33,EnchantConfig,Name,,<OrangeQuality:高级回声>,<OrangeQuality:上位反響>
EnchantConfig_18172_Desc,awfR,f附魔_EnchantConfig_A.csv,25,EnchantConfig,Desc,,打出后使所有敌人失去 [Arg1] 点临时<PowerIconKeywords:力量>。,使用後、すべての敵から[Arg1]点の<PowerIconKeywords:力>を一時的に減少させる。
EnchantConfig_18172_Name,awfS,f附魔_EnchantConfig_A.csv,25,EnchantConfig,Name,,<WhiteQuality:衰竭>,<WhiteQuality:衰弱>
EnchantConfig_18173_Desc,awfT,f附魔_EnchantConfig_A.csv,38,EnchantConfig,Desc,,打出后 <EmbryoFusionIconKeywords:胚胎融合>  +[Arg1]%。,使用後、<EmbryoFusionIconKeywords:胚胎融合>+[Arg1]％。
EnchantConfig_18173_Name,awfU,f附魔_EnchantConfig_A.csv,38,EnchantConfig,Name,,<OrangeQuality:高级嗜血>,<OrangeQuality:上位吸血>
EnchantConfig_18174_Desc,awfV,f附魔_EnchantConfig_A.csv,30,EnchantConfig,Desc,,打出后<VulnerabilityIconKeywords:易伤>所有敌人 [Arg1] 回合。,使用後、すべての敵に[Arg1]点の<VulnerabilityIconKeywords:負傷>を付与する。
EnchantConfig_18174_Name,awfW,f附魔_EnchantConfig_A.csv,30,EnchantConfig,Name,,<OrangeQuality:高级易伤>,<OrangeQuality:上位易傷>
EnchantConfig_18175_Desc,awfX,f附魔_EnchantConfig_A.csv,37,EnchantConfig,Desc,,打出后使 1 条触腕攻击 [Arg1] 次。,使用後、1本の触腕が[Arg1]回攻撃する。
EnchantConfig_18175_Name,awfY,f附魔_EnchantConfig_A.csv,37,EnchantConfig,Name,,<OrangeQuality:高级统御>,<OrangeQuality:上位統御>
EnchantConfig_18176_Desc,awfZ,f附魔_EnchantConfig_A.csv,18,EnchantConfig,Desc,,打出后使 1 条触腕攻击 [Arg1] 次。,使用後、1本の触腕が[Arg1]回攻撃する。
EnchantConfig_18176_Name,awga,f附魔_EnchantConfig_A.csv,18,EnchantConfig,Name,,<WhiteQuality:统御>,<WhiteQuality:統御>
EnchantConfig_18177_Desc,awgb,f附魔_EnchantConfig_A.csv,27,EnchantConfig,Desc,,打出后抽 [Arg1] 张牌。,使用後、カードを[Arg1]枚引く。
EnchantConfig_18177_Name,awgc,f附魔_EnchantConfig_A.csv,27,EnchantConfig,Name,,<OrangeQuality:高级妙手>,<OrangeQuality:上位妙手>
EnchantConfig_18178_Desc,awgd,f附魔_EnchantConfig_A.csv,34,EnchantConfig,Desc,,战斗开始后将 [Arg1] 张临时复制洗入抽牌堆，原始卡牌和镜像卡牌均获得<RetainIconKeywords:保留>。,戦闘開始後、[Arg1]枚のコピーを山札に追加する。元のカードとコピーは<RetainIconKeywords:保持>を獲得する。
EnchantConfig_18178_Name,awge,f附魔_EnchantConfig_A.csv,34,EnchantConfig,Name,,<OrangeQuality:高级镜像>,<OrangeQuality:上位鏡像>
EnchantConfig_18179_Desc,awgf,f附魔_EnchantConfig_A.csv,40,EnchantConfig,Desc,,打出后获得 [Arg1] 点<PowerIconKeywords:力量>。,使用後、[Arg1]点の<PowerIconKeywords:力>を獲得する。
EnchantConfig_18179_Name,awgg,f附魔_EnchantConfig_A.csv,40,EnchantConfig,Name,,<OrangeQuality:高级蛮力>,<OrangeQuality:上位剛力>
EnchantConfig_18180_Desc,awgh,f附魔_EnchantConfig_A.csv,29,EnchantConfig,Desc,,打出后所属唤醒体获得 [Arg1] 点狂气。,使用後、[Arg1]狂気を獲得する。
EnchantConfig_18180_Name,awgi,f附魔_EnchantConfig_A.csv,29,EnchantConfig,Name,,<OrangeQuality:高级狂化>,<OrangeQuality:上位狂化>
EnchantConfig_18181_Desc,awgj,f附魔_EnchantConfig_A.csv,36,EnchantConfig,Desc,,打出后对所有敌人施加 [Arg1] 层<IntoxicationIconKeywords:中毒>，使所有敌人触发 [Arg2]% <IntoxicationIconKeywords:中毒> 。,使用後、すべての敵に[Arg1]点の<IntoxicationIconKeywords:毒>を付与し、すべての敵の<IntoxicationIconKeywords:毒>を[Arg2]％発動する。
EnchantConfig_18181_Name,awgk,f附魔_EnchantConfig_A.csv,36,EnchantConfig,Name,,<OrangeQuality:高级毒素>,<OrangeQuality:上位毒素>
EnchantConfig_18182_Desc,awgl,f附魔_EnchantConfig_A.csv,24,EnchantConfig,Desc,,打出后将 [Arg1] 张 <DerivativeCardKeywords_4:「灵感」> 洗入抽牌堆。「灵感-获得 1 算力。抽 1 张牌，<RetainIconKeywords:保留>，<DepleteIconKeywords:消耗>。」,使用後、[Arg1]枚の<DerivativeCardKeywords_4:「啓示」>を山札に追加する。「啓示」：1点の行動力を獲得し、カードを1枚引く。<RetainIconKeywords:保持>、<DepleteIconKeywords:除外>。
EnchantConfig_18182_Name,awgm,f附魔_EnchantConfig_A.csv,24,EnchantConfig,Name,,<WhiteQuality:灵感>,<WhiteQuality:啓示>
EnchantConfig_18183_Desc,awgn,f附魔_EnchantConfig_A.csv,11,EnchantConfig,Desc,,打出后<VulnerabilityIconKeywords:易伤>所有敌人 [Arg1] 回合。,使用後、すべての敵に[Arg1]点の<VulnerabilityIconKeywords:負傷>を付与する。
EnchantConfig_18183_Name,awgo,f附魔_EnchantConfig_A.csv,11,EnchantConfig,Name,,<WhiteQuality:易伤>,<WhiteQuality:易傷>
EnchantConfig_18184_Desc,awgp,f附魔_EnchantConfig_A.csv,32,EnchantConfig,Desc,,打出后获得 [Arg1] 点护盾。,使用後、[Arg1]点のシールドを獲得する。
EnchantConfig_18184_Name,awgq,f附魔_EnchantConfig_A.csv,32,EnchantConfig,Name,,<OrangeQuality:高级铁壁>,<OrangeQuality:上位鉄壁>
EnchantConfig_18185_Desc,awgr,f附魔_EnchantConfig_A.csv,17,EnchantConfig,Desc,,打出后对所有敌人施加 [Arg1] 层<IntoxicationIconKeywords:中毒>，使所有敌人触发 [Arg2]% <IntoxicationIconKeywords:中毒> 。,使用後、すべての敵に[Arg1]点の<IntoxicationIconKeywords:毒>を付与し、すべての敵の<IntoxicationIconKeywords:毒>を[Arg2]％発動する。
EnchantConfig_18185_Name,awgs,f附魔_EnchantConfig_A.csv,17,EnchantConfig,Name,,<WhiteQuality:毒素>,<WhiteQuality:毒素>
EnchantConfig_18186_Desc,awgt,f附魔_EnchantConfig_A.csv,15,EnchantConfig,Desc,,战斗开始后将 [Arg1] 张临时复制洗入抽牌堆，原始卡牌和镜像卡牌均获得<RetainIconKeywords:保留>。,戦闘開始後、[Arg1]枚のコピーを山札に追加する。元のカードとコピーは<RetainIconKeywords:保持>を獲得する。
EnchantConfig_18186_Name,awgu,f附魔_EnchantConfig_A.csv,15,EnchantConfig,Name,,<WhiteQuality:镜像>,<WhiteQuality:鏡像>
EnchantConfig_18187_Desc,awgv,f附魔_EnchantConfig_A.csv,41,EnchantConfig,Desc,,打出后获得 [Arg1] 点临时<PowerIconKeywords:力量>，刻印卡牌也能受到该<PowerIconKeywords:力量>加成。,使用後、[Arg1]点の一時的な<PowerIconKeywords:力>を獲得する。刻印されたカードにもこの<PowerIconKeywords:力>ボーナスが適用される。
EnchantConfig_18187_Name,awgw,f附魔_EnchantConfig_A.csv,41,EnchantConfig,Name,,<OrangeQuality:高级爆发>,<OrangeQuality:上位爆発>
EnchantConfig_18188_Desc,awgx,f附魔_EnchantConfig_A.csv,8,EnchantConfig,Desc,,打出后抽 [Arg1] 张牌。,使用後、カードを[Arg1]枚引く。
EnchantConfig_18188_Name,awgy,f附魔_EnchantConfig_A.csv,8,EnchantConfig,Name,,<WhiteQuality:妙手>,<WhiteQuality:妙手>
EnchantConfig_18189_Desc,awgz,f附魔_EnchantConfig_A.csv,43,EnchantConfig,Desc,,打出后将 [Arg1] 张 <DerivativeCardKeywords_4:「灵感」> 洗入抽牌堆。「灵感-获得 1 算力。抽 1 张牌，<RetainIconKeywords:保留>，<DepleteIconKeywords:消耗>。」,使用後、[Arg1]枚の<DerivativeCardKeywords_4:「啓示」>を山札に追加する。「啓示」：1点の行動力を獲得し、カードを1枚引く。<RetainIconKeywords:保持>、<DepleteIconKeywords:除外>。
EnchantConfig_18189_Name,awgA,f附魔_EnchantConfig_A.csv,43,EnchantConfig,Name,,<OrangeQuality:高级灵感>,<OrangeQuality:上位啓示>
EnchantConfig_18190_Desc,awgB,f附魔_EnchantConfig_A.csv,31,EnchantConfig,Desc,,打出后<WeaknessIconKeywords:虚弱>所有敌人 [Arg1] 回合。,使用後、すべての敵に[Arg1]点の<WeaknessIconKeywords:虚弱>を付与する。
EnchantConfig_18190_Name,awgC,f附魔_EnchantConfig_A.csv,31,EnchantConfig,Name,,<OrangeQuality:高级虚弱>,<OrangeQuality:上位虚弱>
EnchantConfig_18191_Desc,awgD,f附魔_EnchantConfig_A.csv,19,EnchantConfig,Desc,,打出后 <EmbryoFusionIconKeywords:胚胎融合>  +[Arg1]%。,使用後、<EmbryoFusionIconKeywords:胚胎融合>＋[Arg1]％。
EnchantConfig_18191_Name,awgE,f附魔_EnchantConfig_A.csv,19,EnchantConfig,Name,,<WhiteQuality:嗜血>,<WhiteQuality:吸血>
EnchantConfig_18192_Desc,awgF,f附魔_EnchantConfig_A.csv,12,EnchantConfig,Desc,,打出后<WeaknessIconKeywords:虚弱>所有敌人 [Arg1] 回合。,使用後、すべての敵に[Arg1]点の<WeaknessIconKeywords:虚弱>を付与する。
EnchantConfig_18192_Name,awgG,f附魔_EnchantConfig_A.csv,12,EnchantConfig,Name,,<WhiteQuality:虚弱>,<WhiteQuality:虚弱>
EnchantConfig_18193_Desc,awgH,f附魔_EnchantConfig_A.csv,44,EnchantConfig,Desc,,打出后使所有敌人失去 [Arg1] 点临时<PowerIconKeywords:力量>。,使用後、すべての敵から[Arg1]点の<PowerIconKeywords:力>を一時的に減少させる。
EnchantConfig_18193_Name,awgI,f附魔_EnchantConfig_A.csv,44,EnchantConfig,Name,,<OrangeQuality:高级衰竭>,<OrangeQuality:上位衰弱>
EnchantConfig_18194_Desc,awgJ,f附魔_EnchantConfig_A.csv,39,EnchantConfig,Desc,,打出后将卡牌的 [Arg1] 张复制加入临时<DimensionalSpaceIconKeywords:超维空间>。,使用後、[Arg1]枚のコピーを<DimensionalSpaceIconKeywords:超次元空間>に追加する。
EnchantConfig_18194_Name,awgK,f附魔_EnchantConfig_A.csv,39,EnchantConfig,Name,,<OrangeQuality:高级折跃>,<OrangeQuality:上位転送>
EnchantConfig_18195_Desc,awgL,f附魔_EnchantConfig_A.csv,21,EnchantConfig,Desc,,打出后获得 [Arg1] 点<PowerIconKeywords:力量>。,使用後、[Arg1]点の<PowerIconKeywords:力>を獲得する。
EnchantConfig_18195_Name,awgM,f附魔_EnchantConfig_A.csv,21,EnchantConfig,Name,,<WhiteQuality:蛮力>,<WhiteQuality:剛力>
EnchantConfig_18196_Desc,awgN,f附魔_EnchantConfig_A.csv,13,EnchantConfig,Desc,,打出后获得 [Arg1] 点护盾。,使用後、[Arg1]点のシールドを獲得する。
EnchantConfig_18196_Name,awgO,f附魔_EnchantConfig_A.csv,13,EnchantConfig,Name,,<WhiteQuality:铁壁>,<WhiteQuality:鉄壁>
EnchantConfig_18197_Desc,awgP,f附魔_EnchantConfig_A.csv,28,EnchantConfig,Desc,,打出后获得 [Arg1] 点算力。,使用後、1点の行動力を獲得する。
EnchantConfig_18197_Name,awgQ,f附魔_EnchantConfig_A.csv,28,EnchantConfig,Name,,<OrangeQuality:高级筹算>,<OrangeQuality:上位算力>
EnchantConfig_18198_Desc,awgR,f附魔_EnchantConfig_A.csv,42,EnchantConfig,Desc,,打出后其他唤醒体获得 [Arg1] 狂气。,使用後、他の覚醒体が[Arg1]狂気を獲得する。
EnchantConfig_18198_Name,awgS,f附魔_EnchantConfig_A.csv,42,EnchantConfig,Name,,<OrangeQuality:高级催化>,<OrangeQuality:上位触媒>
EnchantConfig_18199_Desc,awgT,f附魔_EnchantConfig_A.csv,16,EnchantConfig,Desc,,打出后获得 [Arg1] 层<RetaliateIconKeywords:反击>，对所有敌人造成 [Arg2]% <RetaliateIconKeywords:反击>的真实伤害。,使用後、[Arg1]点の<RetaliateIconKeywords:反撃>を獲得し、すべての敵に<RetaliateIconKeywords:反撃>の[Arg2]％分の固定ダメージを与える。
EnchantConfig_18199_Name,awgU,f附魔_EnchantConfig_A.csv,16,EnchantConfig,Name,,<WhiteQuality:尖刺>,<WhiteQuality:尖刺>
EnchantConfig_18200_Desc,awgV,f附魔_EnchantConfig_A.csv,14,EnchantConfig,Desc,,打出后额外生效 [Arg1] 次，获得 [Arg2] 点黑印，<DepleteIconKeywords:消耗>、<GuyouKeywords:固有>。,使用後、カードの効果が[Arg1]回発動し、[Arg2]黒章を獲得する。<DepleteIconKeywords:除外>、<GuyouKeywords:固有>。
EnchantConfig_18200_Name,awgW,f附魔_EnchantConfig_A.csv,14,EnchantConfig,Name,,<WhiteQuality:回声>,<WhiteQuality:反響>
EnchantConfig_18201_Desc,awgX,f附魔_EnchantConfig_A.csv,10,EnchantConfig,Desc,,打出后所属唤醒体获得 [Arg1] 点狂气。,使用後、[Arg1]狂気を獲得する。
EnchantConfig_18201_Name,awgY,f附魔_EnchantConfig_A.csv,10,EnchantConfig,Name,,<WhiteQuality:狂化>,<WhiteQuality:狂化>
EnchantConfig_18202_Desc,awgZ,f附魔_EnchantConfig_A.csv,22,EnchantConfig,Desc,,打出后获得 [Arg1] 点临时<PowerIconKeywords:力量>，刻印卡牌也能受到该<PowerIconKeywords:力量>加成。,使用後、[Arg1]点の一時的な<PowerIconKeywords:力>を獲得する。刻印されたカードにもこの<PowerIconKeywords:力>ボーナスが適用される。
EnchantConfig_18202_Name,awha,f附魔_EnchantConfig_A.csv,22,EnchantConfig,Name,,<WhiteQuality:爆发>,<WhiteQuality:爆発>
EnchantConfig_18203_Desc,awhb,f附魔_EnchantConfig_A.csv,23,EnchantConfig,Desc,,打出后其他唤醒体获得 [Arg1] 狂气。,使用後、他の覚醒体が[Arg1]狂気を獲得する。
EnchantConfig_18203_Name,awhc,f附魔_EnchantConfig_A.csv,23,EnchantConfig,Name,,<WhiteQuality:催化>,<WhiteQuality:触媒>
EnchantConfig_18204_Desc,awhd,f附魔_EnchantConfig_A.csv,20,EnchantConfig,Desc,,打出后将卡牌的 [Arg1] 张复制加入临时<DimensionalSpaceIconKeywords:超维空间>。,使用後、[Arg1]枚のコピーを<DimensionalSpaceIconKeywords:超次元空間>に追加する。
EnchantConfig_18204_Name,awhe,f附魔_EnchantConfig_A.csv,20,EnchantConfig,Name,,<WhiteQuality:折跃>,<WhiteQuality:転送>

